#,Klasszikus, Elektronikus, Metál
1,soundtrack, industrial, gothic metal
2,instrumental, darkwave, melodic death metal
3,classical, electronic, black metal
4,orchestra, ebm, industrial metal
5,ambient, dark ambient, symphonic metal
