#, Stílus, Előadó, Dal, Percentilis
0, classical, Christfried Bickenbach, Polonaise en sol mineur BWV Anh.125, 50
1, classical, Christfried Bickenbach, Praeludium en ut majeur BWV 846, 75
2, classical, Christfried Bickenbach, Polonaise en sol mineur BWV Anh.125, 80
3, classical, Christfried Bickenbach, Les Bergeries rondeau en si majeur BWV Anh.183, 80
4, classical, Christfried Bickenbach, Les Bergeries rondeau en si majeur BWV Anh.183, 70
5, classical, Christfried Bickenbach, Polonaise en sol majeur BWV Anh.130, 65
