#, Stílus, Előadó, Dal, Percentilis
0, classical, Midnight Syndicate, Forgotten Path, 55
1, classical, Midnight Syndicate, Forgotten Path, 70
2, classical, Midnight Syndicate, Forgotten Path, 80
3, classical, Midnight Syndicate, Forgotten Path, 75
4, classical, Midnight Syndicate, Forgotten Path, 65
5, classical, Midnight Syndicate, Forgotten Path, 85
