#, Stílus, Előadó, Dal, Percentilis
0, metal, ASP, Ich Will brennen [Supernova Edit], 85
1, metal, ASP, Ich Will Brennen                 , 85
2, metal, ASP, Ich Will brennen [Supernova Edit], 95
3, metal, ASP, Ich Will Brennen                 , 95
4, metal, ASP, Ich Will brennen [Supernova Edit], 75
5, metal, ASP, Ich Will brennen [Supernova Edit], 80
